"N","Title","Url","File","Status","Error"
"55","10. РО по вводу доходов_3_рандом выборка","https://docs.google.com/document/d/1MGJvzw2dgxnTzEobTGXesDmyTNfeIfau2ztlvRGJ2Dg/edit?tab=t.0","055_10. РО по вводу доходов_3_рандом выборка.txt","OK",""
"56","10. РО по вводу доходов_4_вставить_на_лист","https://docs.google.com/document/d/1xF-K1eZpkQaDQXomLtXgjoCcrwuDZl6NJWhdVG0_zao/edit?tab=t.0","056_10. РО по вводу доходов_4_вставить_на_лист.txt","OK",""
"57","10. РО по вводу доходов_триггер_на_настройки","https://docs.google.com/document/d/1rVWx64tY6z0cUYDD3oLJtrB8s8atQpWtcCvrV9rSpPA/edit?tab=t.0","057_10. РО по вводу доходов_триггер_на_настройки.txt","OK",""
"58","10. РО по вводу доходов_5_синхрон_с_популяцией","https://docs.google.com/document/d/1QXdk9zA4LJ8eILTCzT4WvQ9Z931qD1T84Bbc8Pe5_go/edit?tab=t.0","058_10. РО по вводу доходов_5_синхрон_с_популяцией.txt","OK",""
"59","10. РО по вводу доходов_МАСТЕР","https://docs.google.com/document/d/1Rf8BaDX-tsklr8i5R8N9VsBphDrqlcyNl-heATLGR4E/edit?tab=t.0","059_10. РО по вводу доходов_МАСТЕР.txt","OK",""
"60","11. РО рандомные_1_популяция","https://docs.google.com/document/d/1-uaxCGBzXAUs42ozHqq5D-czmuyb9ZCsMGM-2__1wXU/edit?tab=t.0","060_11. РО рандомные_1_популяция.txt","OK",""
"61","11. РО рандомные_2_фильтр_3л","https://docs.google.com/document/d/1RxoiAiNkI7R367BQMeJAVXA33ytmK7xCIGcRiaD4NwY/edit?tab=t.0","061_11. РО рандомные_2_фильтр_3л.txt","OK",""
"62","11. РО рандомные_3_рандом выборка","https://docs.google.com/document/d/1mwUyfUsj-kO3_I_327zWT1sTI5Dn9sU_jOpKKqgfRHs/edit?tab=t.0","062_11. РО рандомные_3_рандом выборка.txt","OK",""
"63","11. РО рандомные_4_вставить_на_лист","https://docs.google.com/document/d/1Q6YhWmJLsHntiHa7FHwjZC7zUjhQ18-si8ZpFIXKnDE/edit?tab=t.0","063_11. РО рандомные_4_вставить_на_лист.txt","OK",""
"64","11. РО рандомные_триггер_на_настройки","https://docs.google.com/document/d/1cJE42I8D6PUqdQanweLjlc42kOojk-l9rrDJliOkDgI/edit?tab=t.0","064_11. РО рандомные_триггер_на_настройки.txt","OK",""
"65","11. РО рандомные_5_синхрон_с_популяцией","https://docs.google.com/document/d/1FHQFI_aqJzGHlc6nYVGB97nhJp1NvEzjBkzBCkw2xQw/edit?tab=t.0","065_11. РО рандомные_5_синхрон_с_популяцией.txt","OK",""
"66","11. РО рандомные_МАСТЕР","https://docs.google.com/document/d/1-f25W8iCXL1-Xj0Ma5Ac0dcR0ldwAn5Q-CclxlHZZII/edit?tab=t.0","066_11. РО рандомные_МАСТЕР.txt","OK",""
"67","12. Ключевые слова_1_популяция","https://docs.google.com/document/d/1ZcSsFbPp0ma45xuW1ztkvRWjZBuijDQ1fqBY7oa4mgs/edit?tab=t.0","067_12. Ключевые слова_1_популяция.txt","OK",""
"68","12. Ключевые слова_2_к_запросу","https://docs.google.com/document/d/1SPFR62n0l_zmCi5On39_rD6C5NqlF7LgednklQl8dg0/edit?tab=t.0","068_12. Ключевые слова_2_к_запросу.txt","OK",""
"69","12. Ключевые слова_3_синхрон","https://docs.google.com/document/d/1zZrY5ZQAoHo32NWSu5xI7-oekHxr624OPdnCczg6aao/edit?tab=t.0","069_12. Ключевые слова_3_синхрон.txt","OK",""
"70","12. Ключевые слова_0_МАСТЕР","https://docs.google.com/document/d/1Q8pgjUWoZRbEkDehTpbsC6YszCfNCjwlXMUwbZQLrGw/edit?tab=t.0","070_12. Ключевые слова_0_МАСТЕР.txt","OK",""
"71","12. Ключевые слова_01_МАСТЕР_синхрон","https://docs.google.com/document/d/1tzozkSgoHkLciFQjaoThVEZzdjbl7sSM1veCklL-zkA/edit?tab=t.0","071_12. Ключевые слова_01_МАСТЕР_синхрон.txt","OK",""
"72","13. ПОДФТ_1_к_запросу","https://docs.google.com/document/d/1XLE3czQbEyJrkxnNvX5IxbJkE-nyvMs-xHFhqHbI-rc/edit?tab=t.0","072_13. ПОДФТ_1_к_запросу.txt","OK",""
"73","13. ПОДФТ_2_синхрон","https://docs.google.com/document/d/11w4IvDvXJq-dkv_yh4xQSZl84fw4yleMj3wn5WN5r2o/edit?tab=t.0","073_13. ПОДФТ_2_синхрон.txt","OK",""
"74","13. ПОДФТ_0_МАСТЕР","https://docs.google.com/document/d/1_7NuArJz2o35cyF_YuqekMQs67aeO6fblAmoShilEc8/edit?tab=t.0","074_13. ПОДФТ_0_МАСТЕР.txt","OK",""
"75","Заполнение листа к запросу","https://docs.google.com/document/d/1Q04m_hu4sx0CQjn6B6HvOjS3Zd5VnYbvkaQpAHefctI/edit?tab=t.0","075_Заполнение листа к запросу.txt","OK",""
